year,temp_jan_avg,temp_feb_avg,temp_mar_avg,rainfall_jan_total,rainfall_feb_total,rainfall_mar_total,daylight_jan_avg,daylight_feb_avg,daylight_mar_avg,gdd,first_bloom_doy,full_bloom_doy,bloom_duration_days,end_bloom_doy
2011,1.75,4.22,9.62,32.2,27.7,32.2,8.2,9.2,10.6,172.35,52,57,13,65
2012,-0.31,-0.63,10.48,26.5,14.8,29.9,8.4,9.5,10.0,0.0,66,73,14,80
2013,0.34,4.92,5.32,23.0,24.0,31.5,8.2,9.5,10.8,148.46,49,55,16,65
2014,1.82,2.27,11.03,42.2,41.9,37.6,8.3,8.6,10.5,120.1,56,66,10,66
2015,0.63,7.01,9.26,5.9,33.2,30.4,8.8,10.0,11.6,215.9,41,46,12,53
2016,2.53,4.59,6.94,7.9,41.0,32.9,9.2,9.5,11.7,206.91,45,52,13,58
2017,2.02,3.81,9.5,32.3,29.6,53.8,7.8,10.1,11.6,169.37,44,49,13,57
2018,1.59,4.13,4.96,13.7,37.4,32.5,8.7,9.2,11.4,164.92,48,54,14,62
2019,1.79,7.24,7.04,17.4,26.1,17.4,7.2,9.7,10.7,258.0,40,45,12,52
2020,1.29,6.31,8.48,21.7,9.8,23.7,8.5,9.5,12.7,216.44,47,58,8,55
2021,1.51,6.1,8.91,10.7,41.4,44.0,9.2,10.3,10.4,217.74,45,52,9,54
2022,2.0,4.61,11.41,33.7,38.7,35.1,8.7,8.9,12.1,191.02,46,53,8,54
2023,0.79,5.06,11.23,10.2,32.3,50.7,7.8,10.2,11.9,165.9,45,51,11,56
2024,0.74,7.04,12.34,21.8,38.5,37.1,8.8,8.9,11.6,219.91,40,49,8,48
2025,3.86,4.26,11.81,23.3,38.2,57.8,8.9,9.4,11.8,238.84,44,51,9,53
